log_id,teacher_id,division,region,training_name,year,modality
LOG000145,TCH00091,Ilocos Sur,Region I,STAR STEM Integration Workshop,2019,Face-to-face
LOG000146,TCH00091,Ilocos Sur,Region I,STAR Basic Science Training,2022,Face-to-face
LOG000147,TCH00092,Ilocos Sur,Region I,STAR Biology Specialization Course,2021,Face-to-face
LOG000148,TCH00093,Ilocos Sur,Region I,STAR Biology Specialization Course,2024,Blended
LOG000149,TCH00094,Ilocos Sur,Region I,STAR Chemistry Lab Techniques,2019,Blended
LOG000150,TCH00094,Ilocos Sur,Region I,STAR Biology Specialization Course,2020,Face-to-face
LOG000151,TCH00094,Ilocos Sur,Region I,STAR STEM Integration Workshop,2024,Online
LOG000152,TCH00095,Ilocos Sur,Region I,STAR Basic Science Training,2021,Face-to-face
LOG000153,TCH00096,Ilocos Sur,Region I,STAR Regional Science Camp,2021,Face-to-face
LOG000154,TCH00096,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2020,Face-to-face
LOG000155,TCH00097,Ilocos Sur,Region I,STAR Biology Specialization Course,2022,Online
LOG000156,TCH00097,Ilocos Sur,Region I,STAR Advanced Science Seminar,2020,Face-to-face
LOG000157,TCH00097,Ilocos Sur,Region I,STAR Biology Specialization Course,2020,Face-to-face
LOG000158,TCH00098,Ilocos Sur,Region I,STAR Regional Coaching Program,2024,Face-to-face
LOG000159,TCH00099,Ilocos Sur,Region I,STAR Advanced Science Seminar,2024,Blended
LOG000160,TCH00099,Ilocos Sur,Region I,STAR Math Enhancement Program,2021,Blended
LOG000161,TCH00100,Ilocos Sur,Region I,STAR Advanced Science Seminar,2024,Face-to-face
LOG000162,TCH00101,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2021,Face-to-face
LOG000163,TCH00102,Ilocos Sur,Region I,STAR Regional Science Camp,2024,Face-to-face
LOG000164,TCH00103,Ilocos Sur,Region I,STAR Chemistry Lab Techniques,2022,Online
LOG000165,TCH00103,Ilocos Sur,Region I,STAR STEM Integration Workshop,2022,Face-to-face
LOG000166,TCH00105,Ilocos Sur,Region I,STAR Basic Science Training,2022,Face-to-face
LOG000167,TCH00105,Ilocos Sur,Region I,STAR Regional Science Camp,2024,Online
LOG000168,TCH00106,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2023,Face-to-face
LOG000169,TCH00107,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2019,Blended
LOG000170,TCH00109,Ilocos Sur,Region I,STAR Chemistry Lab Techniques,2019,Face-to-face
LOG000171,TCH00109,Ilocos Sur,Region I,STAR Advanced Science Seminar,2021,Online
LOG000172,TCH00110,Ilocos Sur,Region I,STAR Basic Science Training,2022,Blended
LOG000173,TCH00110,Ilocos Sur,Region I,STAR Regional Coaching Program,2022,Online
LOG000174,TCH00112,Ilocos Sur,Region I,STAR Math Enhancement Program,2020,Face-to-face
LOG000175,TCH00112,Ilocos Sur,Region I,STAR Basic Science Training,2020,Blended
LOG000176,TCH00112,Ilocos Sur,Region I,STAR STEM Integration Workshop,2021,Face-to-face
LOG000177,TCH00112,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2021,Online
LOG000178,TCH00114,Ilocos Sur,Region I,STAR Chemistry Lab Techniques,2019,Face-to-face
LOG000179,TCH00115,Ilocos Sur,Region I,STAR Physics Upskilling Workshop,2021,Face-to-face
LOG000180,TCH00116,Ilocos Sur,Region I,STAR Regional Science Camp,2021,Online
LOG000181,TCH00116,Ilocos Sur,Region I,STAR Regional Coaching Program,2022,Face-to-face
LOG000182,TCH00118,Ilocos Sur,Region I,STAR Basic Science Training,2023,Face-to-face
LOG000183,TCH00118,Ilocos Sur,Region I,STAR STEM Integration Workshop,2021,Face-to-face
LOG000184,TCH00119,Ilocos Sur,Region I,STAR Biology Specialization Course,2020,Blended
LOG000185,TCH00119,Ilocos Sur,Region I,STAR Biology Specialization Course,2020,Online
LOG000186,TCH00119,Ilocos Sur,Region I,STAR Leadership for Science Teachers,2019,Online
LOG000187,TCH00120,La Union,Region I,STAR Regional Science Camp,2020,Online
LOG000188,TCH00121,La Union,Region I,STAR Leadership for Science Teachers,2024,Face-to-face
LOG000189,TCH00122,La Union,Region I,STAR Basic Science Training,2019,Online
LOG000190,TCH00122,La Union,Region I,STAR STEM Integration Workshop,2020,Blended
LOG000191,TCH00123,La Union,Region I,STAR Physics Upskilling Workshop,2024,Face-to-face
LOG000192,TCH00123,La Union,Region I,STAR Math Enhancement Program,2021,Face-to-face
LOG000193,TCH00124,La Union,Region I,STAR Leadership for Science Teachers,2024,Face-to-face
LOG000194,TCH00124,La Union,Region I,STAR Regional Coaching Program,2023,Face-to-face
LOG000195,TCH00124,La Union,Region I,STAR Regional Coaching Program,2019,Online
LOG000196,TCH00124,La Union,Region I,STAR STEM Integration Workshop,2022,Face-to-face
LOG000197,TCH00125,La Union,Region I,STAR Biology Specialization Course,2024,Face-to-face
LOG000198,TCH00126,La Union,Region I,STAR Biology Specialization Course,2022,Online
LOG000199,TCH00126,La Union,Region I,STAR Regional Science Camp,2021,Face-to-face
LOG000200,TCH00127,La Union,Region I,STAR Leadership for Science Teachers,2023,Face-to-face
LOG000201,TCH00128,La Union,Region I,STAR Basic Science Training,2022,Face-to-face
LOG000202,TCH00128,La Union,Region I,STAR Advanced Science Seminar,2022,Online
LOG000203,TCH00129,La Union,Region I,STAR Physics Upskilling Workshop,2022,Blended
LOG000204,TCH00129,La Union,Region I,STAR Biology Specialization Course,2021,Blended
LOG000205,TCH00129,La Union,Region I,STAR Biology Specialization Course,2020,Online
LOG000206,TCH00130,La Union,Region I,STAR STEM Integration Workshop,2022,Blended
LOG000207,TCH00130,La Union,Region I,STAR Physics Upskilling Workshop,2019,Online
LOG000208,TCH00131,La Union,Region I,STAR Advanced Science Seminar,2024,Online
LOG000209,TCH00131,La Union,Region I,STAR Regional Coaching Program,2023,Online
LOG000210,TCH00131,La Union,Region I,STAR Math Enhancement Program,2019,Face-to-face
LOG000211,TCH00134,La Union,Region I,STAR Math Enhancement Program,2024,Online
LOG000212,TCH00135,La Union,Region I,STAR Basic Science Training,2019,Online
LOG000213,TCH00136,La Union,Region I,STAR Physics Upskilling Workshop,2021,Face-to-face
LOG000214,TCH00137,La Union,Region I,STAR STEM Integration Workshop,2022,Face-to-face
LOG000215,TCH00137,La Union,Region I,STAR Regional Science Camp,2021,Face-to-face
LOG000216,TCH00138,La Union,Region I,STAR Basic Science Training,2022,Face-to-face
LOG000217,TCH00138,La Union,Region I,STAR Regional Science Camp,2019,Online
LOG000218,TCH00140,La Union,Region I,STAR Leadership for Science Teachers,2022,Blended
LOG000219,TCH00141,La Union,Region I,STAR STEM Integration Workshop,2023,Face-to-face
LOG000220,TCH00141,La Union,Region I,STAR Biology Specialization Course,2019,Face-to-face
LOG000221,TCH00142,La Union,Region I,STAR Regional Science Camp,2022,Face-to-face
LOG000222,TCH00142,La Union,Region I,STAR Chemistry Lab Techniques,2022,Online
LOG000223,TCH00144,La Union,Region I,STAR STEM Integration Workshop,2019,Blended
LOG000224,TCH00146,La Union,Region I,STAR Math Enhancement Program,2020,Face-to-face
LOG000225,TCH00148,La Union,Region I,STAR Regional Coaching Program,2022,Online
LOG000226,TCH00149,La Union,Region I,STAR Regional Coaching Program,2019,Face-to-face
LOG000227,TCH00150,La Union,Region I,STAR Chemistry Lab Techniques,2023,Online
LOG000228,TCH00153,La Union,Region I,STAR Biology Specialization Course,2023,Face-to-face
LOG000229,TCH00155,La Union,Region I,STAR Physics Upskilling Workshop,2023,Online
LOG000230,TCH00155,La Union,Region I,STAR Biology Specialization Course,2019,Face-to-face
LOG000231,TCH00156,La Union,Region I,STAR Regional Coaching Program,2020,Face-to-face
LOG000232,TCH00156,La Union,Region I,STAR Math Enhancement Program,2021,Online
LOG000233,TCH00156,La Union,Region I,STAR Regional Coaching Program,2024,Blended
LOG000234,TCH00156,La Union,Region I,STAR Chemistry Lab Techniques,2023,Blended
LOG000235,TCH00156,La Union,Region I,STAR Physics Upskilling Workshop,2019,Online
LOG000236,TCH00157,La Union,Region I,STAR Physics Upskilling Workshop,2024,Blended
LOG000237,TCH00158,La Union,Region I,STAR Leadership for Science Teachers,2024,Online
LOG000238,TCH00158,La Union,Region I,STAR Advanced Science Seminar,2020,Online
LOG000239,TCH00159,La Union,Region I,STAR Leadership for Science Teachers,2019,Online
LOG000240,TCH00160,La Union,Region I,STAR Biology Specialization Course,2023,Online
LOG000241,TCH00161,La Union,Region I,STAR STEM Integration Workshop,2019,Blended
LOG000242,TCH00161,La Union,Region I,STAR Chemistry Lab Techniques,2024,Face-to-face
LOG000243,TCH00162,La Union,Region I,STAR Regional Science Camp,2022,Face-to-face
LOG000244,TCH00164,La Union,Region I,STAR Advanced Science Seminar,2019,Face-to-face
LOG000245,TCH00164,La Union,Region I,STAR Regional Coaching Program,2020,Blended
LOG000246,TCH00165,La Union,Region I,STAR Basic Science Training,2024,Face-to-face
LOG000247,TCH00165,La Union,Region I,STAR Regional Coaching Program,2023,Face-to-face
LOG000248,TCH00165,La Union,Region I,STAR Regional Coaching Program,2023,Face-to-face
LOG000249,TCH00166,La Union,Region I,STAR STEM Integration Workshop,2023,Blended
LOG000250,TCH00167,La Union,Region I,STAR Advanced Science Seminar,2022,Online
LOG000251,TCH00167,La Union,Region I,STAR Physics Upskilling Workshop,2022,Blended
LOG000252,TCH00168,La Union,Region I,STAR Regional Science Camp,2020,Face-to-face
LOG000253,TCH00168,La Union,Region I,STAR Basic Science Training,2022,Online
LOG000254,TCH00175,La Union,Region I,STAR Regional Coaching Program,2021,Face-to-face
LOG000255,TCH00175,La Union,Region I,STAR Regional Coaching Program,2022,Face-to-face
LOG000256,TCH00175,La Union,Region I,STAR Regional Science Camp,2019,Online
LOG000257,TCH00176,La Union,Region I,STAR STEM Integration Workshop,2023,Online
LOG000258,TCH00176,La Union,Region I,STAR Regional Science Camp,2024,Blended
LOG000259,TCH00176,La Union,Region I,STAR Regional Science Camp,2019,Blended
LOG000260,TCH00177,La Union,Region I,STAR Regional Coaching Program,2021,Online
LOG000261,TCH00178,La Union,Region I,STAR Leadership for Science Teachers,2019,Face-to-face
LOG000262,TCH00181,La Union,Region I,STAR Regional Coaching Program,2023,Blended
LOG000263,TCH00181,La Union,Region I,STAR Basic Science Training,2022,Blended
LOG000264,TCH00182,La Union,Region I,STAR Math Enhancement Program,2023,Face-to-face
LOG000265,TCH00184,La Union,Region I,STAR STEM Integration Workshop,2021,Face-to-face
LOG000266,TCH00184,La Union,Region I,STAR Physics Upskilling Workshop,2019,Face-to-face
LOG000267,TCH00184,La Union,Region I,STAR STEM Integration Workshop,2023,Face-to-face
LOG000268,TCH00187,La Union,Region I,STAR Regional Science Camp,2021,Online
LOG000269,TCH00187,La Union,Region I,STAR Leadership for Science Teachers,2023,Online
LOG000270,TCH00188,La Union,Region I,STAR Basic Science Training,2020,Online
LOG000271,TCH00189,La Union,Region I,STAR Advanced Science Seminar,2024,Face-to-face
LOG000272,TCH00189,La Union,Region I,STAR Advanced Science Seminar,2023,Face-to-face
LOG000273,TCH00190,La Union,Region I,STAR Basic Science Training,2023,Face-to-face
LOG000274,TCH00190,La Union,Region I,STAR Leadership for Science Teachers,2022,Online
LOG000275,TCH00191,La Union,Region I,STAR Advanced Science Seminar,2024,Face-to-face
LOG000276,TCH00191,La Union,Region I,STAR STEM Integration Workshop,2024,Online
LOG000277,TCH00191,La Union,Region I,STAR Advanced Science Seminar,2019,Face-to-face
LOG000278,TCH00193,Pangasinan,Region I,STAR Regional Coaching Program,2021,Blended
LOG000279,TCH00193,Pangasinan,Region I,STAR Math Enhancement Program,2024,Blended
LOG000280,TCH00193,Pangasinan,Region I,STAR STEM Integration Workshop,2024,Face-to-face
LOG000281,TCH00193,Pangasinan,Region I,STAR Regional Science Camp,2019,Blended
LOG000282,TCH00196,Pangasinan,Region I,STAR Advanced Science Seminar,2019,Face-to-face
LOG000283,TCH00196,Pangasinan,Region I,STAR Math Enhancement Program,2023,Face-to-face
LOG000284,TCH00196,Pangasinan,Region I,STAR Basic Science Training,2021,Face-to-face
LOG000285,TCH00197,Pangasinan,Region I,STAR Regional Science Camp,2019,Face-to-face
LOG000286,TCH00197,Pangasinan,Region I,STAR STEM Integration Workshop,2024,Face-to-face
LOG000287,TCH00197,Pangasinan,Region I,STAR Advanced Science Seminar,2024,Face-to-face
LOG000288,TCH00197,Pangasinan,Region I,STAR Math Enhancement Program,2022,Online
LOG000289,TCH00198,Pangasinan,Region I,STAR Biology Specialization Course,2023,Online
LOG000290,TCH00198,Pangasinan,Region I,STAR Leadership for Science Teachers,2024,Blended
LOG000291,TCH00201,Pangasinan,Region I,STAR Physics Upskilling Workshop,2023,Online
LOG000292,TCH00201,Pangasinan,Region I,STAR Basic Science Training,2019,Face-to-face
LOG000293,TCH00201,Pangasinan,Region I,STAR STEM Integration Workshop,2023,Online
LOG000294,TCH00202,Pangasinan,Region I,STAR Regional Coaching Program,2021,Face-to-face
LOG000295,TCH00203,Pangasinan,Region I,STAR Chemistry Lab Techniques,2024,Online
LOG000296,TCH00205,Pangasinan,Region I,STAR Advanced Science Seminar,2019,Face-to-face
LOG000297,TCH00205,Pangasinan,Region I,STAR Biology Specialization Course,2019,Blended
LOG000298,TCH00207,Pangasinan,Region I,STAR Advanced Science Seminar,2024,Online
LOG000299,TCH00207,Pangasinan,Region I,STAR Advanced Science Seminar,2022,Face-to-face
LOG000300,TCH00208,Pangasinan,Region I,STAR Biology Specialization Course,2022,Face-to-face
LOG000301,TCH00210,Pangasinan,Region I,STAR STEM Integration Workshop,2019,Face-to-face
LOG000302,TCH00210,Pangasinan,Region I,STAR Basic Science Training,2020,Face-to-face
LOG000303,TCH00210,Pangasinan,Region I,STAR Chemistry Lab Techniques,2019,Face-to-face
LOG000304,TCH00211,Pangasinan,Region I,STAR Biology Specialization Course,2020,Face-to-face
LOG000305,TCH00211,Pangasinan,Region I,STAR Leadership for Science Teachers,2021,Face-to-face
LOG000306,TCH00212,Pangasinan,Region I,STAR Regional Coaching Program,2021,Face-to-face
LOG000307,TCH00213,Pangasinan,Region I,STAR Math Enhancement Program,2024,Online
LOG000308,TCH00213,Pangasinan,Region I,STAR STEM Integration Workshop,2021,Online
LOG000309,TCH00213,Pangasinan,Region I,STAR Basic Science Training,2022,Face-to-face
